model,song,condition,effect,level,sdr_wet,sdr_dry
demucs,BKS_-_Bulldozer,compression_l4,compression,4,8.502255484986387,6.425643305344904
spleeter,BKS_-_Bulldozer,compression_l4,compression,4,5.09635442390525,4.709153249177137
demucs,BKS_-_Bulldozer,delay_l1,delay,1,8.477648953037868,6.093038543731069
spleeter,BKS_-_Bulldozer,delay_l1,delay,1,5.637667152962237,4.3915705838167565
demucs,BKS_-_Bulldozer,delay_l2,delay,2,7.937313985692588,4.768226102568056
spleeter,BKS_-_Bulldozer,delay_l2,delay,2,5.130731045323559,3.5095153710281775
demucs,BKS_-_Bulldozer,delay_l3,delay,3,7.27869979984062,3.9685791403512467
spleeter,BKS_-_Bulldozer,delay_l3,delay,3,4.266505118707661,2.988275345368185
demucs,BKS_-_Bulldozer,delay_l4,delay,4,6.68839770469277,3.4179620711854257
spleeter,BKS_-_Bulldozer,delay_l4,delay,4,3.788023266314482,2.5999511122770356
demucs,BKS_-_Bulldozer,original,original,0,8.841292971252104,8.841292971252104
spleeter,BKS_-_Bulldozer,original,original,0,5.907734733930537,5.907734733930537
demucs,BKS_-_Bulldozer,reverb_l1,reverb,1,8.244963990567985,7.358864405978183
spleeter,BKS_-_Bulldozer,reverb_l1,reverb,1,5.604491309341836,5.155920461836208
demucs,BKS_-_Bulldozer,reverb_l2,reverb,2,6.419364360732934,1.8459300157245362
spleeter,BKS_-_Bulldozer,reverb_l2,reverb,2,4.080387664295632,1.2955425580933233
demucs,BKS_-_Bulldozer,reverb_l3,reverb,3,5.227085826363876,-1.258572695571383
spleeter,BKS_-_Bulldozer,reverb_l3,reverb,3,3.2866918006181645,-1.1694463213454251
demucs,BKS_-_Bulldozer,reverb_l4,reverb,4,5.045763530837749,-2.112399943797243
spleeter,BKS_-_Bulldozer,reverb_l4,reverb,4,3.2119391609996457,-1.8569286788120174
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l1,bitcrush,1,5.801156650475496,4.819378714969051
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l1,bitcrush,1,4.344157194053079,3.977918510013944
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l2,bitcrush,2,5.820880963638434,4.823625172991689
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l2,bitcrush,2,4.344307102666176,3.9792510515926063
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l3,bitcrush,3,5.788189949966512,4.808531582439914
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l3,bitcrush,3,4.3363595238446075,3.9834834651047624
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l4,bitcrush,4,5.6272920864316065,4.729273815950158
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l4,bitcrush,4,4.136084684599089,3.89444568742354
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l1,compression,1,5.775972480112995,5.826777793524847
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l1,compression,1,4.530715040677878,4.660351468319926
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l2,compression,2,5.6841411409137415,5.233217025657865
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l2,compression,2,4.316669960504981,4.216126150001949
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l3,compression,3,5.699595004917294,4.561155226314411
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l3,compression,3,4.215084877429803,3.657675827551582
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l4,compression,4,5.7026310125521995,4.241056786444796
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l4,compression,4,4.239758398785952,3.3782527360897774
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l1,delay,1,5.669313532138068,4.5124308260998385
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l1,delay,1,4.5861929785815505,3.660652851595601
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l2,delay,2,5.065622073395644,3.6741217530995094
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l2,delay,2,3.946853306507558,2.8866640922613858
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l3,delay,3,4.58831506586328,3.114156286522319
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l3,delay,3,3.232271274688658,2.3279726789533095
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l4,delay,4,4.235546226573861,2.7334325957855037
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l4,delay,4,2.7115096136825683,2.042175861980506
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,original,original,0,5.86143469149637,5.86143469149637
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,original,original,0,4.629740101714933,4.629740101714933
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l1,reverb,1,5.203031561959628,4.00538461009957
spleeter,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l1,reverb,1,3.323402864388899,3.409610168179867
demucs,Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l2,reverb,2,2.774324542690744,0.5916752331007178
