model,song,pair,component,SI_SDR,SI_SAR_like,RMSE
demucs,Hollow Ground - Ill Fate,bass,non_vocal,23.226448648518865,23.247060094790545,0.0041864675387367
demucs,James Elder & Mark M Thompson - The English Actor,bass,non_vocal,11.773277503402378,12.05279296288111,0.008365547889048815
demucs,Juliet's Rescue - Heartbeats,bass,non_vocal,20.01396845595221,20.057044112217646,0.0034598889638061555
demucs,Little Chicago's Finest - My Own,bass,non_vocal,22.09303908686926,22.11977793989979,0.001566912757290541
demucs,Louis Cressy Band - Good Time,bass,non_vocal,25.02057689988444,25.03422411640392,0.0019198326523402736
demucs,Lyndsey Ollard - Catching Up,bass,non_vocal,29.485008181305346,29.489895145113646,0.0007910121457012688
demucs,M.E.R.C. Music - Knockout,bass,non_vocal,26.047730603611473,26.058506969322934,0.0016403912995170459
demucs,Moosmusic - Big Dummy Shake,bass,non_vocal,19.867319890841102,19.91186736091958,0.005832724573374503
demucs,Motor Tapes - Shore,bass,non_vocal,19.999722433700867,20.042938919797436,0.004410181580006732
demucs,Mu - Too Bright,bass,non_vocal,23.885982299359625,23.903695625303833,0.0015565891087085902
demucs,Nerve 9 - Pray For The Rain,bass,non_vocal,13.832751906299963,14.008818137676762,0.008580126080360496
demucs,PR - Happy Daze,bass,non_vocal,19.507290618018732,19.55566708863288,0.035336838045630356
demucs,PR - Oh No,bass,non_vocal,18.27147531528372,18.335658852906633,0.03502416701415861
demucs,Punkdisco - Oral Hygiene,bass,non_vocal,22.46825244148221,22.4927843814232,0.006070373220355736
demucs,Raft Monk - Tiring,bass,non_vocal,20.36228796897892,20.40205887197585,0.007509944836260149
demucs,Sambasevam Shanmugam - Kaathaadi,bass,non_vocal,22.466550127287338,22.49109165783155,0.0048849302064217495
demucs,Secretariat - Borderline,bass,non_vocal,18.588626926153243,18.64832131093805,0.004974197419445711
demucs,Secretariat - Over The Top,bass,non_vocal,25.205927715780597,25.21900559979773,0.004971164978570358
demucs,Side Effects Project - Sing With Me,bass,non_vocal,17.079053155922153,17.16332040577529,0.004370163453282055
demucs,Signe Jakobsen - What Have You Done To Me,bass,non_vocal,21.742943530051765,21.77191965771715,0.0033942602365764603
demucs,Skelpolu - Resurrection,bass,non_vocal,18.409960372479652,18.47214390468684,0.014529985841638246
demucs,Speak Softly - Broken Man,bass,non_vocal,34.48906341889007,34.49060796450923,0.0015729898901808894
demucs,Speak Softly - Like Horses,bass,non_vocal,31.45449921021963,31.45760505029247,0.0019353960651062078
demucs,The Doppler Shift - Atrophy,bass,non_vocal,17.119682604133537,17.20317268071857,0.005097635762165812
demucs,The Easton Ellises (Baumi) - SDRNR,bass,non_vocal,13.269216115138784,13.469123568593158,0.0116095364258382
demucs,The Easton Ellises - Falcon 69,bass,non_vocal,14.926390466899713,15.063874707148717,0.01202594751589561
demucs,The Long Wait - Dark Horses,bass,non_vocal,24.306826686680868,24.322907106156414,0.002889538984637029
demucs,The Mountaineering Club - Mallory,bass,non_vocal,24.445226520969268,24.460803476449303,0.003961443336339059
demucs,The Sunshine Garcia Band - For I Am The Moon,bass,non_vocal,17.59564766873192,17.670545504853155,0.0083673559275935
demucs,Timboz - Pony,bass,non_vocal,19.9628351851366,20.006418454658267,0.0029044859023119457
demucs,Tom McKenzie - Directions,bass,non_vocal,19.59904181868807,19.646412479545436,0.0051116492482537156
demucs,Triviul feat. The Fiend - Widow,bass,non_vocal,17.677553054688182,17.751063373366723,0.007384088925484622
demucs,We Fell From The Sky - Not You,bass,non_vocal,19.753626594566057,19.799349466626616,0.0026737719271067556
demucs,Zeno - Signs,bass,non_vocal,12.442831418652807,12.68349610431259,0.009035040759120089
demucs,AM Contra - Heart Peripheral,bass,vocals,24.455455771525166,24.470996146143715,0.003352116422199007
demucs,Al James - Schoolboy Facination,bass,vocals,11.300221008733898,11.610778361143517,0.017900275419881508
demucs,Angels In Amplifiers - I'm Alright,bass,vocals,24.64839306652937,24.663259318178593,0.0036482108933102264
demucs,Arise - Run Run Run,bass,vocals,21.572509534379904,21.6026413911221,0.004475693431262565
demucs,BKS - Bulldozer,bass,vocals,14.110323511169572,14.275693696817918,0.004159924061657386
demucs,BKS - Too Much,bass,vocals,23.24037312638867,23.260918749282645,0.0035203385257249506
demucs,Ben Carrigan - We'll Talk About It All Tonight,bass,vocals,20.046236752195284,20.08899510480726,0.003226113330743583
demucs,Bobby Nobody - Stitch Up,bass,vocals,23.47961167821981,23.499058580665007,0.002824133495791638
demucs,Buitraker - Revo X,bass,vocals,13.393764430639903,13.588144886334428,0.007846544813126367
demucs,Carlos Gonzalez - A Place For Us,bass,vocals,20.32414893761285,20.3642690248704,0.005981554353484519
demucs,Cristina Vane - So Easy,bass,vocals,21.943923770928645,21.971593678238076,0.004504543563779011
demucs,Detsky Sad - Walkie Talkie,bass,vocals,23.143683479581753,23.16469053529433,0.0030203017423270553
demucs,Enda Reilly - Cur An Long Ag Seol,bass,vocals,22.176571146786262,22.202802155160285,0.005051387754256828
demucs,Forkupines - Semantics,bass,vocals,22.08064331761916,22.10745836307141,0.003148151275449065
demucs,Georgia Wonder - Siren,bass,vocals,19.49341406253416,19.541944490821706,0.004673520904451356
demucs,Girls Under Glass - We Feel Alright,bass,vocals,12.730526705353205,12.956158961262412,0.007553187539215408
demucs,Hollow Ground - Ill Fate,bass,vocals,19.178108615679303,19.230271631037862,0.004125588493809914
demucs,James Elder & Mark M Thompson - The English Actor,bass,vocals,16.582442556316845,16.676808054581954,0.008408635942139208
demucs,Juliet's Rescue - Heartbeats,bass,vocals,21.022350012409902,21.056535275433642,0.0035072467455461334
demucs,Little Chicago's Finest - My Own,bass,vocals,28.61574776124529,28.621716891345677,0.0013577547367965462
demucs,Louis Cressy Band - Good Time,bass,vocals,26.010518521067407,26.021387503750248,0.0019372750451713341
demucs,Lyndsey Ollard - Catching Up,bass,vocals,35.73970386788835,35.740861994437374,0.0008217435575730824
demucs,M.E.R.C. Music - Knockout,bass,vocals,29.531474785611795,29.53630976983421,0.0016984667640827613
demucs,Moosmusic - Big Dummy Shake,bass,vocals,21.419312849767028,21.450522693891436,0.005827183415439579
demucs,Motor Tapes - Shore,bass,vocals,22.635007274739504,22.658617630508992,0.004382291535577816
demucs,Mu - Too Bright,bass,vocals,29.781485894968803,29.78605054482541,0.0016377225622473228
demucs,Nerve 9 - Pray For The Rain,bass,vocals,16.07880745696852,16.184635657265627,0.00860716682386187
demucs,PR - Happy Daze,bass,vocals,5.7108261948451595,6.743673953020243,0.005111258112254981
demucs,PR - Oh No,bass,vocals,3.040071479903484,4.791082888182309,0.011521730067733292
demucs,Punkdisco - Oral Hygiene,bass,vocals,15.111987491564452,15.243806470231968,0.004849558656012331
demucs,Raft Monk - Tiring,bass,vocals,17.124460919424024,17.207860062659098,0.007576650829569053
demucs,Sambasevam Shanmugam - Kaathaadi,bass,vocals,22.329672726836908,22.354997768657924,0.004796180965385889
demucs,Secretariat - Borderline,bass,vocals,20.86728506837464,20.902707914965987,0.004958931346969056
demucs,Secretariat - Over The Top,bass,vocals,20.22388851562397,20.26494116691562,0.0047964232765512526
demucs,Side Effects Project - Sing With Me,bass,vocals,21.96431273938774,21.991853458363416,0.00511283521979276
demucs,Signe Jakobsen - What Have You Done To Me,bass,vocals,25.845540174448153,25.85682944050603,0.0035363653465598204
demucs,Skelpolu - Resurrection,bass,vocals,3.0571695957814784,4.80251510831338,0.015113704595407949
demucs,Speak Softly - Broken Man,bass,vocals,28.160280746609217,28.16690939163341,0.0015508215863066436
demucs,Speak Softly - Like Horses,bass,vocals,31.997074454230805,31.999815648398062,0.001889965910257172
demucs,The Doppler Shift - Atrophy,bass,vocals,19.67637527787369,19.722914353375014,0.005273444866512166
demucs,The Easton Ellises (Baumi) - SDRNR,bass,vocals,14.713555572361818,14.857831863308792,0.011795668225454761
demucs,The Easton Ellises - Falcon 69,bass,vocals,14.39846693422039,14.553408348212322,0.012006549629413828
demucs,The Long Wait - Dark Horses,bass,vocals,22.50758784640482,22.53189921406861,0.0028608179856752145
demucs,The Mountaineering Club - Mallory,bass,vocals,19.50058084038909,19.549031693946727,0.0038502754536429815
demucs,The Sunshine Garcia Band - For I Am The Moon,bass,vocals,17.29706744701948,17.377246778754667,0.008425390332742838
demucs,Timboz - Pony,bass,vocals,21.610405758904548,21.640276729262297,0.0029211578469886643
demucs,Tom McKenzie - Directions,bass,vocals,16.490132078797686,16.586502481342023,0.005400432925326642
demucs,Triviul feat. The Fiend - Widow,bass,vocals,20.313875065481856,20.354089736443886,0.0060222023982247205
demucs,We Fell From The Sky - Not You,bass,vocals,21.420518127971352,21.45171934280624,0.002789524987228589
demucs,Zeno - Signs,bass,vocals,17.05121069008642,17.136014652406754,0.009099053906905637
demucs,AM Contra - Heart Peripheral,drums,non_vocal,17.44752746089318,17.525000776181464,0.009858146633585668
demucs,Al James - Schoolboy Facination,drums,non_vocal,4.943241068160936,6.150255910282968,0.021964285959281703
demucs,Angels In Amplifiers - I'm Alright,drums,non_vocal,14.1641232042606,14.32749526274437,0.009364008243577367
demucs,Arise - Run Run Run,drums,non_vocal,20.41493290673803,20.454226780504456,0.0046926211845242085
demucs,BKS - Bulldozer,drums,non_vocal,21.235906864103498,21.268457918110094,0.006547518659514792
demucs,BKS - Too Much,drums,non_vocal,16.961064765699486,17.047629777946195,0.007606113955898124
demucs,Ben Carrigan - We'll Talk About It All Tonight,drums,non_vocal,15.44789511079107,15.570039429291878,0.007717089241804472
demucs,Bobby Nobody - Stitch Up,drums,non_vocal,15.406319950940405,15.529622653256588,0.00632406885538489
demucs,Buitraker - Revo X,drums,non_vocal,17.80709159965802,17.878459328826924,0.010882953487285173
demucs,Carlos Gonzalez - A Place For Us,drums,non_vocal,12.44764936819777,12.688054465779533,0.010516819033237451
demucs,Cristina Vane - So Easy,drums,non_vocal,22.64397310541176,22.6675349006995,0.005319751495007033
demucs,Detsky Sad - Walkie Talkie,drums,non_vocal,11.588341606229921,11.879617770846762,0.02318188603250699
demucs,Enda Reilly - Cur An Long Ag Seol,drums,non_vocal,24.28705294855478,24.303206613955126,0.003855586968592369
demucs,Forkupines - Semantics,drums,non_vocal,22.36097468600039,22.386118378199612,0.007649591915506705
demucs,Georgia Wonder - Siren,drums,non_vocal,16.99625103759743,17.082124399283426,0.008344381595895815
demucs,Girls Under Glass - We Feel Alright,drums,non_vocal,23.431513455006275,23.451176439902788,0.00520689882476358
demucs,Hollow Ground - Ill Fate,drums,non_vocal,15.708275736362227,15.823405478981847,0.00822310074381045
demucs,James Elder & Mark M Thompson - The English Actor,drums,non_vocal,12.301884626645938,12.55026520417065,0.01083967498915136
demucs,Juliet's Rescue - Heartbeats,drums,non_vocal,22.300661880349303,22.326156162363024,0.006532296523422632
demucs,Little Chicago's Finest - My Own,drums,non_vocal,17.93909409462713,18.0083422000511,0.004911095073667683
demucs,Louis Cressy Band - Good Time,drums,non_vocal,17.712456581581645,17.785383390474724,0.006476368310207194
demucs,Lyndsey Ollard - Catching Up,drums,non_vocal,14.08435037160455,14.250693765369224,0.00534696297603771
demucs,M.E.R.C. Music - Knockout,drums,non_vocal,16.26826165592449,16.369624813403863,0.007453813125119923
demucs,Moosmusic - Big Dummy Shake,drums,non_vocal,17.883874813638425,17.954001893948227,0.011869985430339562
demucs,Motor Tapes - Shore,drums,non_vocal,21.268105081741684,21.300416589655033,0.0023683979804218474
demucs,Mu - Too Bright,drums,non_vocal,20.335441835697164,20.37545821330419,0.007417657520480003
demucs,Nerve 9 - Pray For The Rain,drums,non_vocal,14.958483626603744,15.094971380948579,0.007357486768904583
demucs,PR - Happy Daze,drums,non_vocal,29.543576327738556,29.548397865576757,0.02642473790333228
demucs,PR - Oh No,drums,non_vocal,21.210813551571146,21.243552519113255,0.07679840829988811
demucs,Punkdisco - Oral Hygiene,drums,non_vocal,16.219421490876663,16.321917576304074,0.011655337146017658
demucs,Raft Monk - Tiring,drums,non_vocal,17.808898933337314,17.880237211271307,0.008357309282262203
demucs,Sambasevam Shanmugam - Kaathaadi,drums,non_vocal,19.345369093530177,19.395572687004265,0.0037295828341783518
demucs,Secretariat - Borderline,drums,non_vocal,15.742658157472198,15.85689186973985,0.005722016937887623
demucs,Secretariat - Over The Top,drums,non_vocal,19.311850714689992,19.36244101637736,0.006733584628757433
demucs,Side Effects Project - Sing With Me,drums,non_vocal,17.353267096440273,17.432424893643763,0.009978923228962582
